"tidyplayer","tidyamericanodds","prop","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","tidyshot_points","game"
"Giannis Antetokounmpo",250,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Khris Middleton",600,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Paolo Banchero",600,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Brook Lopez",800,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Franz Wagner",900,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Malik Beasley",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Goga Bitadze",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Jalen Suggs",1200,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Cameron Payne",1200,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Markelle Fultz",1400,"first player to score","MIL","ORL",2023-11-11 19:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"MIL @ ORL"
"Jaylen Brown",500,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Jayson Tatum",500,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Pascal Siakam",600,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Kristaps Porzingis",600,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Jrue Holiday",700,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Dennis Schroder",900,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Scottie Barnes",1000,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Derrick White",1000,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Jakob Poeltl",1200,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"OG Anunoby",1200,"first player to score","TOR","BOS",2023-11-11 20:00:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"TOR @ BOS"
"Donovan Mitchell",450,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Darius Garland",600,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Stephen Curry",600,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Jarrett Allen",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Klay Thompson",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Evan Mobley",800,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Andrew Wiggins",800,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Draymond Green",1000,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Kevon Looney",1000,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Max Strus",1200,"first player to score","CLE","GSW",2023-11-11 21:30:00,"betrivers","nba",2023-11-11 12:25:50,NA,NA,NA,"CLE @ GSW"
"Giannis Antetokounmpo",380,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Khris Middleton",550,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Paolo Banchero",675,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Goga Bitadze",700,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Damian Lillard",700,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Brook Lopez",750,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Jalen Suggs",900,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Malik Beasley",900,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Franz Wagner",900,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Markelle Fultz",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIL @ ORL"
"Kristaps Porzingis",375,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Jayson Tatum",525,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Jaylen Brown",550,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Pascal Siakam",650,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Jrue Holiday",700,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Scottie Barnes",850,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Jakob Poeltl",850,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"OG Anunoby",950,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Dennis Schroder",1000,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Derrick White",1200,"first player to score","TOR","BOS",2023-11-11 20:00:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"TOR @ BOS"
"Bam Adebayo",280,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Trae Young",625,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Clint Capela",675,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"De'Andre Hunter",750,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Jalen Johnson",750,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Duncan Robinson",800,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Dejounte Murray",850,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Jaime Jaquez Jr.",900,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Kyle Lowry",1000,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Haywood Highsmith",1100,"first player to score","MIA","ATL",2023-11-11 20:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"MIA @ ATL"
"Donovan Mitchell",420,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Stephen Curry",600,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Andrew Wiggins",600,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Evan Mobley",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Klay Thompson",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Jarrett Allen",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Kevon Looney",750,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Darius Garland",850,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Max Strus",1200,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Draymond Green",1200,"first player to score","CLE","GSW",2023-11-11 21:30:00,"csr","nba",2023-11-11 12:25:57,NA,NA,NA,"CLE @ GSW"
"Giannis Antetokounmpo",400,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Khris Middleton",550,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Goga Bitadze",650,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Damian Lillard",700,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Paolo Banchero",700,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Brook Lopez",750,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Franz Wagner",850,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Jalen Suggs",850,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Malik Beasley",900,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Markelle Fultz",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIL @ ORL"
"Kristaps Porzingis",360,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Jayson Tatum",550,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Pascal Siakam",600,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Jaylen Brown",650,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Jakob Poeltl",800,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Scottie Barnes",800,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"OG Anunoby",900,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Jrue Holiday",900,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Dennis Schroder",1000,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Derrick White",1100,"first player to score","TOR","BOS",2023-11-11 20:00:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"TOR @ BOS"
"Bam Adebayo",310,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Trae Young",650,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Clint Capela",700,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"De'Andre Hunter",750,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Jalen Johnson",750,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Dejounte Murray",800,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Duncan Robinson",800,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Haywood Highsmith",1000,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Kyle Lowry",1100,"first player to score","MIA","ATL",2023-11-11 20:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"MIA @ ATL"
"Donovan Mitchell",450,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Andrew Wiggins",600,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Klay Thompson",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Jarrett Allen",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Evan Mobley",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Stephen Curry",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Kevon Looney",750,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Darius Garland",850,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
"Draymond Green",1100,"first player to score","CLE","GSW",2023-11-11 21:30:00,"draftkings","nba",2023-11-11 12:26:02,NA,NA,NA,"CLE @ GSW"
