"season_year","season_type","game_date","game_id","player_id","player_name","team_id","team_abbreviation","matchup","starter","event","shot_type","fpts_team","fpts_team_prob_glmnet","fpts_team_prob_earth","model","fpts_team_prob"
"2023-24","Regular Season",2023-11-11,"0022300173","203081","Damian Lillard","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.219639314168084,0.209692250818582,"points",0.214665782493333
"2023-24","Regular Season",2023-11-11,"0022300173","1627736","Malik Beasley","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.161677493458292,0.16045242742408,"points",0.161064960441186
"2023-24","Regular Season",2023-11-11,"0022300173","203114","Khris Middleton","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.209697507769661,0.192819589592274,"points",0.201258548680967
"2023-24","Regular Season",2023-11-11,"0022300173","203507","Giannis Antetokounmpo","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.301070323569505,0.322014402961669,"points",0.311542363265587
"2023-24","Regular Season",2023-11-11,"0022300173","201572","Brook Lopez","1610612749","MIL","MIL @ ORL",TRUE,"points","overall",NA,0.193067654249958,0.204820387279993,"points",0.198944020764976
"2023-24","Regular Season",2023-11-11,"0022300173","1628365","Markelle Fultz","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.195746141195188,0.174418851018414,"points",0.185082496106801
"2023-24","Regular Season",2023-11-11,"0022300173","1630591","Jalen Suggs","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.175697646017687,0.183793003994886,"points",0.179745325006287
"2023-24","Regular Season",2023-11-11,"0022300173","1630532","Franz Wagner","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.188958329971803,0.201725202122162,"points",0.195341766046982
"2023-24","Regular Season",2023-11-11,"0022300173","1631094","Paolo Banchero","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.215745149777565,0.233528908548462,"points",0.224637029163014
"2023-24","Regular Season",2023-11-11,"0022300173","1629048","Goga Bitadze","1610612753","ORL","ORL vs. MIL",TRUE,"points","overall",NA,0.249713626683796,0.256348784680958,"points",0.253031205682377
"2023-24","Regular Season",2023-11-11,"0022300174","203471","Dennis Schroder","1610612761","TOR","TOR @ BOS",TRUE,"points","overall",NA,0.156310241810827,0.141707332065581,"points",0.149008786938204
"2023-24","Regular Season",2023-11-11,"0022300174","1628384","O.G. Anunoby","1610612761","TOR","TOR @ BOS",TRUE,"points","overall",NA,0.107031772742882,0.0782230249187434,"points",0.0926273988308129
"2023-24","Regular Season",2023-11-11,"0022300174","1630567","Scottie Barnes","1610612761","TOR","TOR @ BOS",TRUE,"points","overall",NA,0.202902467892955,0.197369425467935,"points",0.200135946680445
"2023-24","Regular Season",2023-11-11,"0022300174","1627783","Pascal Siakam","1610612761","TOR","TOR @ BOS",TRUE,"points","overall",NA,0.228914997730201,0.225453999723995,"points",0.227184498727098
"2023-24","Regular Season",2023-11-11,"0022300174","1627751","Jakob Poeltl","1610612761","TOR","TOR @ BOS",TRUE,"points","overall",NA,0.206598847267883,0.202392252014324,"points",0.204495549641104
"2023-24","Regular Season",2023-11-11,"0022300174","201950","Jrue Holiday","1610612738","BOS","BOS vs. TOR",TRUE,"points","overall",NA,0.182412320301666,0.157760750584323,"points",0.170086535442995
"2023-24","Regular Season",2023-11-11,"0022300174","1628401","Derrick White","1610612738","BOS","BOS vs. TOR",TRUE,"points","overall",NA,0.158043549682907,0.138155591383835,"points",0.148099570533371
"2023-24","Regular Season",2023-11-11,"0022300174","1627759","Jaylen Brown","1610612738","BOS","BOS vs. TOR",TRUE,"points","overall",NA,0.225733225077887,0.234397121221664,"points",0.230065173149775
"2023-24","Regular Season",2023-11-11,"0022300174","1628369","Jayson Tatum","1610612738","BOS","BOS vs. TOR",TRUE,"points","overall",NA,0.227309273297543,0.236498305305313,"points",0.231903789301428
"2023-24","Regular Season",2023-11-11,"0022300174","204001","Kristaps Porzingis","1610612738","BOS","BOS vs. TOR",TRUE,"points","overall",NA,0.255663325825002,0.283449651723107,"points",0.269556488774055
"2023-24","Regular Season",2023-11-11,"0022300175","200768","Kyle Lowry","1610612748","MIA","MIA @ ATL",TRUE,"points","overall",NA,0.153185883952437,0.115572218140336,"points",0.134379051046387
"2023-24","Regular Season",2023-11-11,"0022300175","1629130","Duncan Robinson","1610612748","MIA","MIA @ ATL",TRUE,"points","overall",NA,0.150551199011133,0.157975175403556,"points",0.154263187207345
"2023-24","Regular Season",2023-11-11,"0022300175","1631170","Jaime Jaquez Jr.","1610612748","MIA","MIA @ ATL",TRUE,"points","overall",NA,0.142969546909401,0.119069283885117,"points",0.131019415397259
"2023-24","Regular Season",2023-11-11,"0022300175","1629312","Haywood Highsmith","1610612748","MIA","MIA @ ATL",TRUE,"points","overall",NA,0.173752546926329,0.152620992587617,"points",0.163186769756973
"2023-24","Regular Season",2023-11-11,"0022300175","1628389","Bam Adebayo","1610612748","MIA","MIA @ ATL",TRUE,"points","overall",NA,0.293220457254423,0.305348677204104,"points",0.299284567229263
"2023-24","Regular Season",2023-11-11,"0022300175","1629027","Trae Young","1610612737","ATL","ATL vs. MIA",TRUE,"points","overall",NA,0.245087465606047,0.209524153671117,"points",0.227305809638582
"2023-24","Regular Season",2023-11-11,"0022300175","1627749","Dejounte Murray","1610612737","ATL","ATL vs. MIA",TRUE,"points","overall",NA,0.210296663346255,0.203925514275647,"points",0.207111088810951
"2023-24","Regular Season",2023-11-11,"0022300175","1629631","De'Andre Hunter","1610612737","ATL","ATL vs. MIA",TRUE,"points","overall",NA,0.188746930838229,0.185758008141375,"points",0.187252469489802
"2023-24","Regular Season",2023-11-11,"0022300175","1630552","Jalen Johnson","1610612737","ATL","ATL vs. MIA",TRUE,"points","overall",NA,0.206053798181733,0.210128145192079,"points",0.208090971686906
"2023-24","Regular Season",2023-11-11,"0022300175","203991","Clint Capela","1610612737","ATL","ATL vs. MIA",TRUE,"points","overall",NA,0.181111036145925,0.192104942750652,"points",0.186607989448288
"2023-24","Regular Season",2023-11-11,"0022300176","1629636","Darius Garland","1610612739","CLE","CLE @ GSW",TRUE,"points","overall",NA,0.197396555560963,0.201038853837644,"points",0.199217704699303
"2023-24","Regular Season",2023-11-11,"0022300176","1628378","Donovan Mitchell","1610612739","CLE","CLE @ GSW",TRUE,"points","overall",NA,0.259774928555086,0.273145877906987,"points",0.266460403231036
"2023-24","Regular Season",2023-11-11,"0022300176","1629622","Max Strus","1610612739","CLE","CLE @ GSW",TRUE,"points","overall",NA,0.152851945057983,0.1561368117041,"points",0.154494378381041
"2023-24","Regular Season",2023-11-11,"0022300176","1630596","Evan Mobley","1610612739","CLE","CLE @ GSW",TRUE,"points","overall",NA,0.208835434972483,0.228316190270479,"points",0.218575812621481
"2023-24","Regular Season",2023-11-11,"0022300176","1628386","Jarrett Allen","1610612739","CLE","CLE @ GSW",TRUE,"points","overall",NA,0.195579319387195,0.186609020508546,"points",0.19109416994787
"2023-24","Regular Season",2023-11-11,"0022300176","201939","Stephen Curry","1610612744","GSW","GSW vs. CLE",TRUE,"points","overall",NA,0.199907680543846,0.200189849615139,"points",0.200048765079492
"2023-24","Regular Season",2023-11-11,"0022300176","202691","Klay Thompson","1610612744","GSW","GSW vs. CLE",TRUE,"points","overall",NA,0.19877373329343,0.208028362552415,"points",0.203401047922923
"2023-24","Regular Season",2023-11-11,"0022300176","203952","Andrew Wiggins","1610612744","GSW","GSW vs. CLE",TRUE,"points","overall",NA,0.208253413528662,0.221372058720052,"points",0.214812736124357
"2023-24","Regular Season",2023-11-11,"0022300176","203110","Draymond Green","1610612744","GSW","GSW vs. CLE",TRUE,"points","overall",NA,0.172920139616247,0.127020717430031,"points",0.149970428523139
"2023-24","Regular Season",2023-11-11,"0022300176","1626172","Kevon Looney","1610612744","GSW","GSW vs. CLE",TRUE,"points","overall",NA,0.19349903802453,0.173751450353537,"points",0.183625244189033
"2023-24","Regular Season",2023-11-11,"0022300173","203081","Damian Lillard","1610612749","MIL","MIL @ ORL",TRUE,"fgm","overall",NA,0.220209621038248,0.222357000372104,"fgm",0.221283310705176
"2023-24","Regular Season",2023-11-11,"0022300173","1627736","Malik Beasley","1610612749","MIL","MIL @ ORL",TRUE,"fgm","overall",NA,0.163018990646071,0.172013421295516,"fgm",0.167516205970794
"2023-24","Regular Season",2023-11-11,"0022300173","203114","Khris Middleton","1610612749","MIL","MIL @ ORL",TRUE,"fgm","overall",NA,0.208891472807526,0.206172323791296,"fgm",0.207531898299411
"2023-24","Regular Season",2023-11-11,"0022300173","203507","Giannis Antetokounmpo","1610612749","MIL","MIL @ ORL",TRUE,"fgm","overall",NA,0.294421578945235,0.282186532947129,"fgm",0.288304055946182
"2023-24","Regular Season",2023-11-11,"0022300173","201572","Brook Lopez","1610612749","MIL","MIL @ ORL",TRUE,"fgm","overall",NA,0.194129171387312,0.214051971329972,"fgm",0.204090571358642
"2023-24","Regular Season",2023-11-11,"0022300173","1628365","Markelle Fultz","1610612753","ORL","ORL vs. MIL",TRUE,"fgm","overall",NA,0.193445932144485,0.174060963736545,"fgm",0.183753447940515
"2023-24","Regular Season",2023-11-11,"0022300173","1630591","Jalen Suggs","1610612753","ORL","ORL vs. MIL",TRUE,"fgm","overall",NA,0.175445098540628,0.171012948529389,"fgm",0.173229023535009
"2023-24","Regular Season",2023-11-11,"0022300173","1630532","Franz Wagner","1610612753","ORL","ORL vs. MIL",TRUE,"fgm","overall",NA,0.189430982654652,0.18789349260546,"fgm",0.188662237630056
"2023-24","Regular Season",2023-11-11,"0022300173","1631094","Paolo Banchero","1610612753","ORL","ORL vs. MIL",TRUE,"fgm","overall",NA,0.214869873124517,0.209408482543256,"fgm",0.212139177833886
"2023-24","Regular Season",2023-11-11,"0022300173","1629048","Goga Bitadze","1610612753","ORL","ORL vs. MIL",TRUE,"fgm","overall",NA,0.24861221467449,0.238894841701186,"fgm",0.243753528187838
"2023-24","Regular Season",2023-11-11,"0022300174","203471","Dennis Schroder","1610612761","TOR","TOR @ BOS",TRUE,"fgm","overall",NA,0.155181354933613,0.12964745040365,"fgm",0.142414402668632
"2023-24","Regular Season",2023-11-11,"0022300174","1628384","O.G. Anunoby","1610612761","TOR","TOR @ BOS",TRUE,"fgm","overall",NA,0.109299545300259,0.0838638212697577,"fgm",0.0965816832850081
"2023-24","Regular Season",2023-11-11,"0022300174","1630567","Scottie Barnes","1610612761","TOR","TOR @ BOS",TRUE,"fgm","overall",NA,0.202722779245333,0.196201169163654,"fgm",0.199461974204493
"2023-24","Regular Season",2023-11-11,"0022300174","1627783","Pascal Siakam","1610612761","TOR","TOR @ BOS",TRUE,"fgm","overall",NA,0.228788511657753,0.226243018914343,"fgm",0.227515765286048
"2023-24","Regular Season",2023-11-11,"0022300174","1627751","Jakob Poeltl","1610612761","TOR","TOR @ BOS",TRUE,"fgm","overall",NA,0.202508355270481,0.174581901149342,"fgm",0.188545128209912
"2023-24","Regular Season",2023-11-11,"0022300174","201950","Jrue Holiday","1610612738","BOS","BOS vs. TOR",TRUE,"fgm","overall",NA,0.180731439009782,0.16405668550658,"fgm",0.172394062258181
"2023-24","Regular Season",2023-11-11,"0022300174","1628401","Derrick White","1610612738","BOS","BOS vs. TOR",TRUE,"fgm","overall",NA,0.158571483480541,0.143200391706915,"fgm",0.150885937593728
"2023-24","Regular Season",2023-11-11,"0022300174","1627759","Jaylen Brown","1610612738","BOS","BOS vs. TOR",TRUE,"fgm","overall",NA,0.226189332406034,0.238178420131855,"fgm",0.232183876268944
"2023-24","Regular Season",2023-11-11,"0022300174","1628369","Jayson Tatum","1610612738","BOS","BOS vs. TOR",TRUE,"fgm","overall",NA,0.224904730702254,0.214534784586221,"fgm",0.219719757644238
"2023-24","Regular Season",2023-11-11,"0022300174","204001","Kristaps Porzingis","1610612738","BOS","BOS vs. TOR",TRUE,"fgm","overall",NA,0.255306504117667,0.28788260426488,"fgm",0.271594554191273
"2023-24","Regular Season",2023-11-11,"0022300175","200768","Kyle Lowry","1610612748","MIA","MIA @ ATL",TRUE,"fgm","overall",NA,0.152337802554243,0.123249156914483,"fgm",0.137793479734363
"2023-24","Regular Season",2023-11-11,"0022300175","1629130","Duncan Robinson","1610612748","MIA","MIA @ ATL",TRUE,"fgm","overall",NA,0.152062467925071,0.154668047024345,"fgm",0.153365257474708
"2023-24","Regular Season",2023-11-11,"0022300175","1631170","Jaime Jaquez Jr.","1610612748","MIA","MIA @ ATL",TRUE,"fgm","overall",NA,0.142618462076901,0.120269633727667,"fgm",0.131444047902284
"2023-24","Regular Season",2023-11-11,"0022300175","1629312","Haywood Highsmith","1610612748","MIA","MIA @ ATL",TRUE,"fgm","overall",NA,0.175885942334677,0.179802311165165,"fgm",0.177844126749921
"2023-24","Regular Season",2023-11-11,"0022300175","1628389","Bam Adebayo","1610612748","MIA","MIA @ ATL",TRUE,"fgm","overall",NA,0.29450375558112,0.342995905656678,"fgm",0.318749830618899
"2023-24","Regular Season",2023-11-11,"0022300175","1629027","Trae Young","1610612737","ATL","ATL vs. MIA",TRUE,"fgm","overall",NA,0.244586666681174,0.222860589480352,"fgm",0.233723628080763
"2023-24","Regular Season",2023-11-11,"0022300175","1627749","Dejounte Murray","1610612737","ATL","ATL vs. MIA",TRUE,"fgm","overall",NA,0.210516886364632,0.217559104545589,"fgm",0.214037995455111
"2023-24","Regular Season",2023-11-11,"0022300175","1629631","De'Andre Hunter","1610612737","ATL","ATL vs. MIA",TRUE,"fgm","overall",NA,0.190265239771916,0.19800393048075,"fgm",0.194134585126333
"2023-24","Regular Season",2023-11-11,"0022300175","1630552","Jalen Johnson","1610612737","ATL","ATL vs. MIA",TRUE,"fgm","overall",NA,0.202007786591962,0.18069059829101,"fgm",0.191349192441486
"2023-24","Regular Season",2023-11-11,"0022300175","203991","Clint Capela","1610612737","ATL","ATL vs. MIA",TRUE,"fgm","overall",NA,0.177123013080939,0.15601877135179,"fgm",0.166570892216365
"2023-24","Regular Season",2023-11-11,"0022300176","1629636","Darius Garland","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.196806602532963,0.190729501507564,"fgm",0.193768052020263
"2023-24","Regular Season",2023-11-11,"0022300176","1628378","Donovan Mitchell","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.261817095385498,0.284290068489813,"fgm",0.273053581937655
"2023-24","Regular Season",2023-11-11,"0022300176","1629622","Max Strus","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.152942809276391,0.144211576650269,"fgm",0.14857719296333
"2023-24","Regular Season",2023-11-11,"0022300176","1630596","Evan Mobley","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.208694800982944,0.205269363706442,"fgm",0.206982082344693
"2023-24","Regular Season",2023-11-11,"0022300176","1628386","Jarrett Allen","1610612739","CLE","CLE @ GSW",TRUE,"fgm","overall",NA,0.193335563763031,0.170255092981791,"fgm",0.181795328372411
"2023-24","Regular Season",2023-11-11,"0022300176","201939","Stephen Curry","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.198515038368697,0.190719117794758,"fgm",0.194617078081728
"2023-24","Regular Season",2023-11-11,"0022300176","202691","Klay Thompson","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.201931304074244,0.238157656835025,"fgm",0.220044480454635
"2023-24","Regular Season",2023-11-11,"0022300176","203952","Andrew Wiggins","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.211286548572076,0.254361694916995,"fgm",0.232824121744535
"2023-24","Regular Season",2023-11-11,"0022300176","203110","Draymond Green","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.169471527996915,0.126071921657492,"fgm",0.147771724827203
"2023-24","Regular Season",2023-11-11,"0022300176","1626172","Kevon Looney","1610612744","GSW","GSW vs. CLE",TRUE,"fgm","overall",NA,0.187195140995114,0.139659231389222,"fgm",0.163427186192168
