"jumper","team_abbrev","team_id","jumps","wins","win_rate","last_jump"
"Al Horford","BOS","1610612738",23,10,0.434782608695652,2022-12-04
"Aleksej Pokusevski","OKC","1610612760",14,3,0.214285714285714,2022-12-10
"Alex Caruso","CHI","1610612741",1,1,1,2022-10-21
"Alperen Sengun","HOU","1610612745",22,7,0.318181818181818,2022-12-11
"Anthony Davis","LAL","1610612747",25,15,0.6,2022-12-11
"Anthony Gill","WAS","1610612764",1,0,0,2022-11-10
"Anthony Morse","MRA","50009",2,0,0,2022-10-06
"Antonius Cleveland","ADL","15019",2,1,0.5,2022-10-06
"Bam Adebayo","MIA","1610612748",27,16,0.592592592592593,2022-12-10
"Ben Simmons","BKN","1610612751",1,0,0,2022-11-20
"Bismack Biyombo","PHX","1610612756",2,0,0,2022-11-01
"Blake Griffin","BOS","1610612738",6,3,0.5,2022-12-10
"Bobby Portis","MIL","1610612749",1,0,0,2022-12-05
"Bol Bol","ORL","1610612753",23,14,0.608695652173913,2022-12-11
"Brandon Clarke","MEM","1610612763",2,0,0,2022-11-07
"Brook Lopez","MIL","1610612749",28,20,0.714285714285714,2022-12-11
"Bruno Fernando","HOU","1610612745",4,2,0.5,2022-11-25
"Cameron Payne","PHX","1610612756",1,1,1,2022-11-28
"Christian Koloko","TOR","1610612761",15,10,0.666666666666667,2022-12-11
"Clint Capela","ATL","1610612737",28,13,0.464285714285714,2022-12-11
"Damian Jones","LAL","1610612747",3,2,0.666666666666667,2022-10-28
"Daniel Gafford","WAS","1610612764",1,0,0,2022-10-14
"Day'Ron Sharpe","BKN","1610612751",1,0,0,2022-12-10
"Deandre Ayton","PHX","1610612756",27,20,0.740740740740741,2022-12-11
"DeAndre Jordan","DEN","1610612743",5,3,0.6,2022-11-20
"Devin Vassell","SAS","1610612759",1,1,1,2022-11-15
"Dewayne Dedmon","MIA","1610612748",1,1,1,2022-10-10
"Domantas Sabonis","SAC","1610612758",29,9,0.310344827586207,2022-12-11
"Drew Eubanks","POR","1610612757",4,3,0.75,2022-11-12
"Dwight Powell","DAL","1610612742",19,8,0.421052631578947,2022-12-10
"Evan Mobley","CLE","1610612739",7,3,0.428571428571429,2022-12-04
"Giannis Antetokounmpo","MIL","1610612749",1,1,1,2022-11-23
"Gorgui Dieng","SAS","1610612759",1,1,1,2022-11-20
"Isaiah Hartenstein","NYK","1610612752",7,1,0.142857142857143,2022-11-20
"Isaiah Jackson","IND","1610612754",3,1,0.333333333333333,2022-10-29
"Isaiah Stewart","DET","1610612765",15,6,0.4,2022-11-12
"Ivica Zubac","LAC","1610612746",31,14,0.451612903225806,2022-12-10
"Jabari Smith Jr.","HOU","1610612745",2,1,0.5,2022-10-26
"Jaden Ivey","DET","1610612765",1,1,1,2022-11-02
"Jakob Poeltl","SAS","1610612759",23,12,0.521739130434783,2022-11-26
"Jalen Duren","DET","1610612765",2,0,0,2022-12-11
"Jalen Smith","IND","1610612754",3,0,0,2022-12-05
"James Wiseman","GSW","1610612744",1,0,0,2022-10-11
"Jaren Jackson Jr.","MEM","1610612763",1,1,1,2022-12-04
"Jarrett Allen","CLE","1610612739",23,16,0.695652173913043,2022-12-10
"JaVale McGee","DAL","1610612742",9,5,0.555555555555556,2022-11-07
"Jaylin Williams","OKC","1610612760",1,1,1,2022-10-13
"Jeremiah Robinson-Earl","OKC","1610612760",15,3,0.2,2022-12-05
"Jericho Sims","NYK","1610612752",2,0,0,2022-11-09
"Jock Landale","PHX","1610612756",1,1,1,2022-10-12
"Joel Embiid","PHI","1610612755",20,11,0.55,2022-12-11
"Jonas Valanciunas","NOP","1610612740",29,14,0.482758620689655,2022-12-11
"Jusuf Nurkic","POR","1610612757",27,16,0.592592592592593,2022-12-10
"Karl-Anthony Towns","MIN","1610612750",6,6,1,2022-11-07
"Kelly Olynyk","UTA","1610612762",29,10,0.344827586206897,2022-12-10
"Kevin Durant","BKN","1610612751",1,0,0,2022-12-09
"Kevin Porter Jr.","HOU","1610612745",1,1,1,2022-10-28
"Kevon Looney","GSW","1610612744",31,18,0.580645161290323,2022-12-10
"Kristaps Porzingis","WAS","1610612764",29,23,0.793103448275862,2022-12-10
"Lauri Markkanen","UTA","1610612762",2,0,0,2022-10-04
"Luguentz Dort","OKC","1610612760",1,0,0,2022-11-05
"Marques Bolden","MIL","1610612749",1,0,0,2022-10-11
"Marvin Bagley III","DET","1610612765",15,6,0.4,2022-12-07
"Mason Plumlee","CHA","1610612766",32,13,0.40625,2022-12-11
"Mitchell Robinson","NYK","1610612752",22,16,0.727272727272727,2022-12-11
"Mo Bamba","ORL","1610612753",1,0,0,2022-10-03
"Montrezl Harrell","PHI","1610612755",5,1,0.2,2022-11-27
"Moses Brown","LAC","1610612746",1,1,1,2022-09-30
"Myles Turner","IND","1610612754",24,9,0.375,2022-12-10
"Naz Reid","MIN","1610612750",2,1,0.5,2022-10-12
"Nic Claxton","BKN","1610612751",29,16,0.551724137931034,2022-12-07
"Nikola Jokic","DEN","1610612743",25,9,0.36,2022-12-10
"Nikola Jovic","MIA","1610612748",2,0,0,2022-11-18
"Nikola Vucevic","CHI","1610612741",29,6,0.206896551724138,2022-12-11
"Noah Vonleh","BOS","1610612738",2,0,0,2022-10-22
"Omer Yurtseven","MIA","1610612748",1,0,0,2022-10-04
"Onyeka Okongwu","ATL","1610612737",2,1,0.5,2022-11-27
"Orlando Robinson","MIA","1610612748",1,0,0,2022-10-07
"Paul Reed","PHI","1610612755",1,0,0,2022-10-03
"Robin Lopez","CLE","1610612739",1,1,1,2022-11-27
"Rudy Gobert","MIN","1610612750",23,16,0.695652173913043,2022-12-10
"Scottie Barnes","TOR","1610612761",14,10,0.714285714285714,2022-11-30
"Steven Adams","MEM","1610612763",28,21,0.75,2022-12-09
"Terrence Jones","MRA","50009",1,1,1,2022-10-09
"Thaddeus Young","TOR","1610612761",3,0,0,2022-11-28
"Thomas Bryant","LAL","1610612747",3,1,0.333333333333333,2022-12-07
"Tobias Harris","PHI","1610612755",4,0,0,2022-11-02
"Usman Garuba","HOU","1610612745",1,0,0,2022-10-22
"Walker Kessler","UTA","1610612762",2,0,0,2022-12-09
"Wendell Carter Jr.","ORL","1610612753",9,5,0.555555555555556,2022-10-26
"Wenyen Gabriel","LAL","1610612747",1,0,0,2022-10-05
"Willy Hernangomez","NOP","1610612740",1,1,1,2022-10-12
"Zach Collins","SAS","1610612759",6,3,0.5,2022-12-10
