"game_date","game","player","team","fpts_line","fpts_prob","br_line","br_prob","br_edge","br_kelly","br_units","bs_line","bs_prob","bs_edge","bs_kelly","bs_units","csr_line","csr_prob","csr_edge","csr_kelly","csr_units","dk_line","dk_prob","dk_edge","dk_kelly","dk_units","fd_line","fd_prob","fd_edge","fd_kelly","fd_units","mgm_line","mgm_prob","mgm_edge","mgm_kelly","mgm_units","pb_line","pb_prob","pb_edge","pb_kelly","pb_units","run_timestamp_utc"
2022-12-12,"ATL @ MEM","Ja Morant","MEM",768,0.1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,0.1754,-0.0603,-0.0365,-3.6541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","Dillon Brooks","MEM",776,0.1142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,0.16,-0.0458,-0.0273,-2.7278,NA,NA,NA,NA,NA,450,0.1818,-0.0676,-0.0413,-4.1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","Brandon Clarke","MEM",816,0.1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,0.0714,0.0378,0.0204,2.0351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","Jaren Jackson Jr.","MEM",823,0.1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,0.1923,-0.0839,-0.0519,-5.1943,NA,NA,NA,NA,NA,410,0.1961,-0.0877,-0.0545,-5.4532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"ATL @ MEM","John Konchar","MEM",1431,0.0653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,0.0588,0.0065,0.0034,0.3445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Bam Adebayo","MIA",562,0.151,350,0.2222,-0.0712,-0.0458,-4.5757,350,0.2222,-0.0712,-0.0458,-4.5757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,0.2222,-0.0712,-0.0458,-4.5757,450,0.1818,-0.0308,-0.0188,-1.8806,330,0.2326,-0.0815,-0.0531,-5.3107,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Jimmy Butler","MIA",731,0.1203,550,0.1538,-0.0335,-0.0198,-1.9805,550,0.1538,-0.0335,-0.0198,-1.9805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,0.1538,-0.0335,-0.0198,-1.9805,750,0.1176,0.0027,0.0015,0.152,550,0.1538,-0.0335,-0.0198,-1.9805,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Tyler Herro","MIA",763,0.1158,700,0.125,-0.0092,-0.0052,-0.5238,700,0.125,-0.0092,-0.0052,-0.5238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,0.125,-0.0092,-0.0052,-0.5238,650,0.1333,-0.0175,-0.0101,-1.0096,700,0.125,-0.0092,-0.0052,-0.5238,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Kyle Lowry","MIA",905,0.0995,850,0.1053,-0.0058,-0.0032,-0.3215,850,0.1053,-0.0058,-0.0032,-0.3215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,0.1053,-0.0058,-0.0032,-0.3215,850,0.1053,-0.0058,-0.0032,-0.3215,850,0.1053,-0.0058,-0.0032,-0.3215,2022-12-12 23:54:05
2022-12-12,"MIA @ IND","Caleb Martin","MIA",978,0.0928,1500,0.0625,0.0303,0.0162,1.6162,1500,0.0625,0.0303,0.0162,1.6162,700,0.125,-0.0322,-0.0184,-1.8398,NA,NA,NA,NA,NA,1500,0.0625,0.0303,0.0162,1.6162,1000,0.0909,0.0019,0.001,0.1042,1400,0.0667,0.0261,0.014,1.4002,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Rudy Gobert","MIN",753,0.1172,550,0.1538,-0.0367,-0.0217,-2.1668,550,0.1538,-0.0367,-0.0217,-2.1668,550,0.1538,-0.0367,-0.0217,-2.1668,550,0.1538,-0.0367,-0.0217,-2.1668,550,0.1538,-0.0367,-0.0217,-2.1668,500,0.1667,-0.0495,-0.0297,-2.9693,550,0.1538,-0.0367,-0.0217,-2.1668,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","D'Angelo Russell","MIN",867,0.1034,750,0.1176,-0.0142,-0.0081,-0.8052,750,0.1176,-0.0142,-0.0081,-0.8052,650,0.1333,-0.0299,-0.0172,-1.7248,650,0.1333,-0.0299,-0.0172,-1.7248,750,0.1176,-0.0142,-0.0081,-0.8052,750,0.1176,-0.0142,-0.0081,-0.8052,750,0.1176,-0.0142,-0.0081,-0.8052,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Anthony Edwards","MIN",927,0.0973,650,0.1333,-0.036,-0.0208,-2.0762,650,0.1333,-0.036,-0.0208,-2.0762,575,0.1481,-0.0508,-0.0298,-2.9819,600,0.1429,-0.0455,-0.0265,-2.6548,650,0.1333,-0.036,-0.0208,-2.0762,500,0.1667,-0.0693,-0.0416,-4.1592,600,0.1429,-0.0455,-0.0265,-2.6548,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Jaden McDaniels","MIN",1128,0.0814,1500,0.0625,0.0189,0.0101,1.0082,1500,0.0625,0.0189,0.0101,1.0082,1100,0.0833,-0.0019,-0.0011,-0.1052,900,0.1,-0.0186,-0.0103,-1.0331,1500,0.0625,0.0189,0.0101,1.0082,1400,0.0667,0.0147,0.0079,0.7895,1400,0.0667,0.0147,0.0079,0.7895,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Kyle Anderson","MIN",1195,0.0772,1300,0.0714,0.0058,0.0031,0.313,1300,0.0714,0.0058,0.0031,0.313,1200,0.0769,3e-04,2e-04,0.0173,1200,0.0769,3e-04,2e-04,0.0173,1300,0.0714,0.0058,0.0031,0.313,1200,0.0769,3e-04,2e-04,0.0173,1200,0.0769,3e-04,2e-04,0.0173,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Shai Gilgeous-Alexander","OKC",928,0.0973,500,0.1667,-0.0694,-0.0416,-4.1643,500,0.1667,-0.0694,-0.0416,-4.1643,480,0.1724,-0.0752,-0.0454,-4.5405,450,0.1818,-0.0846,-0.0517,-5.1674,500,0.1667,-0.0694,-0.0416,-4.1643,500,0.1667,-0.0694,-0.0416,-4.1643,500,0.1667,-0.0694,-0.0416,-4.1643,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Aleksej Pokusevski","OKC",990,0.0917,1300,0.0714,0.0203,0.0109,1.0925,1300,0.0714,0.0203,0.0109,1.0925,1300,0.0714,0.0203,0.0109,1.0925,900,0.1,-0.0083,-0.0046,-0.4601,1300,0.0714,0.0203,0.0109,1.0925,850,0.1053,-0.0135,-0.0076,-0.7569,1200,0.0769,0.0148,0.008,0.8014,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Luguentz Dort","OKC",1019,0.0894,800,0.1111,-0.0217,-0.0122,-1.2224,800,0.1111,-0.0217,-0.0122,-1.2224,750,0.1176,-0.0283,-0.016,-1.6018,600,0.1429,-0.0535,-0.0312,-3.1195,800,0.1111,-0.0217,-0.0122,-1.2224,700,0.125,-0.0356,-0.0204,-2.0354,800,0.1111,-0.0217,-0.0122,-1.2224,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Josh Giddey","OKC",1179,0.0782,1000,0.0909,-0.0127,-0.007,-0.6983,1000,0.0909,-0.0127,-0.007,-0.6983,1100,0.0833,-0.0051,-0.0028,-0.2793,900,0.1,-0.0218,-0.0121,-1.2104,950,0.0952,-0.017,-0.0094,-0.9409,950,0.0952,-0.017,-0.0094,-0.9409,900,0.1,-0.0218,-0.0121,-1.2104,2022-12-12 23:54:05
2022-12-12,"OKC @ DAL","Jeremiah Robinson-Earl","OKC",1243,0.0745,1400,0.0667,0.0078,0.0042,0.4183,1400,0.0667,0.0078,0.0042,0.4183,NA,NA,NA,NA,NA,800,0.1111,-0.0366,-0.0206,-2.0608,1400,0.0667,0.0078,0.0042,0.4183,1200,0.0769,-0.0024,-0.0013,-0.1326,1400,0.0667,0.0078,0.0042,0.4183,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Jusuf Nurkic","POR",683,0.1277,500,0.1667,-0.039,-0.0234,-2.3395,500,0.1667,-0.039,-0.0234,-2.3395,475,0.1739,-0.0462,-0.028,-2.7987,475,0.1739,-0.0462,-0.028,-2.7987,490,0.1695,-0.0418,-0.0252,-2.5176,500,0.1667,-0.039,-0.0234,-2.3395,400,0.2,-0.0723,-0.0452,-4.5204,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Jerami Grant","POR",751,0.1175,700,0.125,-0.0075,-0.0043,-0.4284,700,0.125,-0.0075,-0.0043,-0.4284,700,0.125,-0.0075,-0.0043,-0.4284,700,0.125,-0.0075,-0.0043,-0.4284,700,0.125,-0.0075,-0.0043,-0.4284,800,0.1111,0.0064,0.0036,0.3595,700,0.125,-0.0075,-0.0043,-0.4284,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Damian Lillard","POR",809,0.1101,650,0.1333,-0.0233,-0.0134,-1.3428,650,0.1333,-0.0233,-0.0134,-1.3428,700,0.125,-0.0149,-0.0085,-0.8538,700,0.125,-0.0149,-0.0085,-0.8538,650,0.1333,-0.0233,-0.0134,-1.3428,650,0.1333,-0.0233,-0.0134,-1.3428,650,0.1333,-0.0233,-0.0134,-1.3428,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Anfernee Simons","POR",1006,0.0904,750,0.1176,-0.0272,-0.0154,-1.5429,750,0.1176,-0.0272,-0.0154,-1.5429,750,0.1176,-0.0272,-0.0154,-1.5429,750,0.1176,-0.0272,-0.0154,-1.5429,750,0.1176,-0.0272,-0.0154,-1.5429,750,0.1176,-0.0272,-0.0154,-1.5429,750,0.1176,-0.0272,-0.0154,-1.5429,2022-12-12 23:54:05
2022-12-12,"MIN @ POR","Josh Hart","POR",1186,0.0777,1300,0.0714,0.0063,0.0034,0.3397,1300,0.0714,0.0063,0.0034,0.3397,900,0.1,-0.0223,-0.0124,-1.2368,1000,0.0909,-0.0132,-0.0072,-0.7244,1300,0.0714,0.0063,0.0034,0.3397,1200,0.0769,8e-04,4e-04,0.0441,1400,0.0667,0.0111,0.0059,0.5931,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Keldon Johnson","SAS",879,0.1022,650,0.1333,-0.0311,-0.018,-1.7969,650,0.1333,-0.0311,-0.018,-1.7969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0.1176,-0.0155,-0.0088,-0.8761,550,0.1538,-0.0517,-0.0305,-3.0526,500,0.1667,-0.0645,-0.0387,-3.8688,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Devin Vassell","SAS",964,0.094,750,0.1176,-0.0237,-0.0134,-1.3412,750,0.1176,-0.0237,-0.0134,-1.3412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,0.125,-0.031,-0.0177,-1.7726,600,0.1429,-0.0489,-0.0285,-2.8512,800,0.1111,-0.0171,-0.0096,-0.9636,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Jeremy Sochan","SAS",1092,0.0839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,0.0833,6e-04,3e-04,0.0324,NA,NA,NA,NA,NA,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Zach Collins","SAS",1189,0.0776,1200,0.0769,7e-04,4e-04,0.0372,1200,0.0769,7e-04,4e-04,0.0372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,0.0769,7e-04,4e-04,0.0372,1200,0.0769,7e-04,4e-04,0.0372,1200,0.0769,7e-04,4e-04,0.0372,2022-12-12 23:54:05
2022-12-12,"CLE @ SAS","Tre Jones","SAS",1213,0.0761,1200,0.0769,-8e-04,-4e-04,-0.0424,1200,0.0769,-8e-04,-4e-04,-0.0424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,0.0769,-8e-04,-4e-04,-0.0424,1100,0.0833,-0.0072,-0.0039,-0.3924,1100,0.0833,-0.0072,-0.0039,-0.3924,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Kristaps Porzingis","WAS",483,0.1715,360,0.2174,-0.0459,-0.0293,-2.9313,360,0.2174,-0.0459,-0.0293,-2.9313,360,0.2174,-0.0459,-0.0293,-2.9313,NA,NA,NA,NA,NA,340,0.2273,-0.0558,-0.0361,-3.6082,350,0.2222,-0.0507,-0.0326,-3.2601,380,0.2083,-0.0368,-0.0233,-2.3257,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Kyle Kuzma","WAS",698,0.1253,550,0.1538,-0.0286,-0.0169,-1.6873,550,0.1538,-0.0286,-0.0169,-1.6873,525,0.16,-0.0347,-0.0207,-2.066,NA,NA,NA,NA,NA,600,0.1429,-0.0176,-0.0102,-1.0247,550,0.1538,-0.0286,-0.0169,-1.6873,550,0.1538,-0.0286,-0.0169,-1.6873,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Corey Kispert","WAS",1135,0.081,1000,0.0909,-0.0099,-0.0055,-0.5467,1000,0.0909,-0.0099,-0.0055,-0.5467,900,0.1,-0.019,-0.0106,-1.0573,NA,NA,NA,NA,NA,1100,0.0833,-0.0024,-0.0013,-0.129,900,0.1,-0.019,-0.0106,-1.0573,1000,0.0909,-0.0099,-0.0055,-0.5467,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Deni Avdija","WAS",1138,0.0808,1200,0.0769,0.0039,0.0021,0.2102,1200,0.0769,0.0039,0.0021,0.2102,1200,0.0769,0.0039,0.0021,0.2102,NA,NA,NA,NA,NA,1200,0.0769,0.0039,0.0021,0.2102,1200,0.0769,0.0039,0.0021,0.2102,1200,0.0769,0.0039,0.0021,0.2102,2022-12-12 23:54:05
2022-12-12,"BKN @ WAS","Jordan Goodwin","WAS",1163,0.0792,1200,0.0769,0.0023,0.0012,0.1227,1200,0.0769,0.0023,0.0012,0.1227,1100,0.0833,-0.0041,-0.0023,-0.2261,NA,NA,NA,NA,NA,1200,0.0769,0.0023,0.0012,0.1227,NA,NA,NA,NA,NA,1100,0.0833,-0.0041,-0.0023,-0.2261,2022-12-12 23:54:05
